# BEFORE: 0bf0b646 (benchmarks only, no perf changes)
go version go1.26.4 darwin/arm64
goos: darwin
goarch: arm64
pkg: github.com/ghostunnel/ghostunnel/proxy
cpu: Apple M1
BenchmarkProxyProtoHeader/tls-8          	 3974637	       325.9 ns/op	     592 B/op	      16 allocs/op
BenchmarkProxyProtoHeader/tls-full       	 2009557	       594.4 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full       	 2025462	       604.3 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full       	 2008287	       597.4 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full       	 1928827	       602.0 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full       	 2019840	       600.4 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full       	 2019573	       601.3 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full       	 2010098	       596.3 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full       	 2012133	       632.7 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full       	 1881733	       634.9 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full       	 2008994	       608.9 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-4     	 2342979	       512.7 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-4     	 2350977	       515.7 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-4     	 2337452	       510.2 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-4     	 2350712	       519.4 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-4     	 2352206	       515.9 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-4     	 2341746	       511.9 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-4     	 2351149	       516.6 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-4     	 2349480	       512.5 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-4     	 2318815	       511.4 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-4     	 2332927	       510.7 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-8     	 2243745	       516.8 ns/op	    2136 B/op	      19 allocs/op
