# After Finding 12 (skip metric collection when no sink configured)
go version go1.26.4 darwin/arm64

goos: darwin
goarch: arm64
pkg: github.com/ghostunnel/ghostunnel/proxy
cpu: Apple M1
BenchmarkProxyProtoHeader/tls-8          	 3655404	       321.7 ns/op	     592 B/op	      16 allocs/op
BenchmarkProxyProtoHeader/tls-full       	 1719753	       640.5 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full       	 1879446	       645.4 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full       	 1806549	       648.1 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full       	 1801716	       659.3 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full       	 1856128	       663.8 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full       	 1892558	       655.8 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full       	 1813372	       640.3 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full       	 1894164	       638.5 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full       	 1872745	       641.8 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full       	 1761932	       650.5 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-4     	 2202789	       535.4 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-4     	 2221112	       539.6 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-4     	 2210496	       564.6 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-4     	 2231475	       560.3 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-4     	 2156691	       550.7 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-4     	 2194686	       549.5 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-4     	 2124794	       563.9 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-4     	 2226530	       536.2 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-4     	 2239484	       572.8 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-4     	 2144650	       546.7 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-8     	 2166066	       545.0 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-8     	 2207436	       541.1 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-8     	 2101144	       555.8 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-8     	 2206905	       670.4 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-8     	 1656510	       636.3 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-8     	 2139310	       550.3 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-8     	 2191754	       624.4 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-8     	 2119474	       547.4 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-8     	 2217994	       546.8 ns/op	    2136 B/op	      19 allocs/op
BenchmarkProxyProtoHeader/tls-full-8     	 2207133	       542.6 ns/op	    2136 B/op	      19 allocs/op
BenchmarkConnectionChurn                 	    1094	   1098884 ns/op	  143081 B/op	    1120 allocs/op
BenchmarkConnectionChurn                 	    1131	   1043940 ns/op	  143074 B/op	    1120 allocs/op
BenchmarkConnectionChurn                 	    1144	   1087467 ns/op	  143086 B/op	    1120 allocs/op
BenchmarkConnectionChurn                 	     996	   1047382 ns/op	  143099 B/op	    1120 allocs/op
BenchmarkConnectionChurn                 	    1179	   1045274 ns/op	  143078 B/op	    1120 allocs/op
BenchmarkConnectionChurn                 	    1152	   1108610 ns/op	  143078 B/op	    1120 allocs/op
BenchmarkConnectionChurn                 	    1102	    935750 ns/op	  143110 B/op	    1121 allocs/op
BenchmarkConnectionChurn                 	    1156	   1004494 ns/op	  143099 B/op	    1121 allocs/op
BenchmarkConnectionChurn                 	    1189	   1040425 ns/op	  143085 B/op	    1120 allocs/op
BenchmarkConnectionChurn                 	    1149	   1102352 ns/op	  143110 B/op	    1121 allocs/op
